feature_group,feature_name,model_name,mcc,mnc,region,country,operator,sp_fci,mode,value,status,updated_at
allow list,device_allowed,M100,450,5,APAC,KR,KT,SP-001,allow,true,active,2025-10-23T06:00:00+09:00
block list,blocked_reason,M100,450,5,APAC,KR,KT,SP-001,block,,active,2025-10-23T06:00:00+09:00
rel features,nr_release,M100,450,5,APAC,KR,KT,SP-001,allow,Rel-15,active,2025-10-23T06:00:00+09:00
ue capa,ue_max_bw_mhz,M100,450,5,APAC,KR,KT,SP-001,allow,100,active,2025-10-23T06:00:00+09:00
allow list,device_allowed,M101,440,8,EMEA,JP,SKT,SP-002,allow,false,active,2025-10-23T06:01:00+09:00
block list,blocked_reason,M101,440,8,EMEA,JP,SKT,SP-002,block,fraud,active,2025-10-23T06:01:00+09:00
rel features,nr_release,M101,440,8,EMEA,JP,SKT,SP-002,allow,Rel-16,active,2025-10-23T06:01:00+09:00
ue capa,ue_max_bw_mhz,M101,440,8,EMEA,JP,SKT,SP-002,allow,120,active,2025-10-23T06:01:00+09:00
allow list,device_allowed,M102,262,1,APAC,DE,LGU+,SP-003,allow,true,active,2025-10-23T06:02:00+09:00
block list,blocked_reason,M102,262,1,APAC,DE,LGU+,SP-003,block,roaming,active,2025-10-23T06:02:00+09:00
rel features,nr_release,M102,262,1,APAC,DE,LGU+,SP-003,allow,Rel-17,active,2025-10-23T06:02:00+09:00
ue capa,ue_max_bw_mhz,M102,262,1,APAC,DE,LGU+,SP-003,allow,140,active,2025-10-23T06:02:00+09:00
allow list,device_allowed,M103,208,6,EMEA,FR,NTT,SP-004,allow,false,active,2025-10-23T06:03:00+09:00
block list,blocked_reason,M103,208,6,EMEA,FR,NTT,SP-004,block,policy,active,2025-10-23T06:03:00+09:00
rel features,nr_release,M103,208,6,EMEA,FR,NTT,SP-004,allow,Rel-18,active,2025-10-23T06:03:00+09:00
ue capa,ue_max_bw_mhz,M103,208,6,EMEA,FR,NTT,SP-004,allow,160,active,2025-10-23T06:03:00+09:00
allow list,device_allowed,M104,450,3,APAC,KR,DOCOMO,SP-005,allow,true,active,2025-10-23T06:04:00+09:00
block list,blocked_reason,M104,450,3,APAC,KR,DOCOMO,SP-005,block,legacy,active,2025-10-23T06:04:00+09:00
rel features,nr_release,M104,450,3,APAC,KR,DOCOMO,SP-005,allow,Rel-15,active,2025-10-23T06:04:00+09:00
ue capa,ue_max_bw_mhz,M104,450,3,APAC,KR,DOCOMO,SP-005,allow,180,active,2025-10-23T06:04:00+09:00
allow list,device_allowed,M105,440,2,EMEA,JP,KDDI,SP-006,allow,false,active,2025-10-23T06:05:00+09:00
block list,blocked_reason,M105,440,2,EMEA,JP,KDDI,SP-006,block,,active,2025-10-23T06:05:00+09:00
rel features,nr_release,M105,440,2,EMEA,JP,KDDI,SP-006,allow,Rel-16,active,2025-10-23T06:05:00+09:00
ue capa,ue_max_bw_mhz,M105,440,2,EMEA,JP,KDDI,SP-006,allow,200,active,2025-10-23T06:05:00+09:00
allow list,device_allowed,M106,262,5,APAC,DE,Vodafone,SP-007,allow,true,active,2025-10-23T06:06:00+09:00
block list,blocked_reason,M106,262,5,APAC,DE,Vodafone,SP-007,block,fraud,active,2025-10-23T06:06:00+09:00
rel features,nr_release,M106,262,5,APAC,DE,Vodafone,SP-007,allow,Rel-17,active,2025-10-23T06:06:00+09:00
ue capa,ue_max_bw_mhz,M106,262,5,APAC,DE,Vodafone,SP-007,allow,100,active,2025-10-23T06:06:00+09:00
allow list,device_allowed,M107,208,8,EMEA,FR,Orange,SP-008,allow,false,active,2025-10-23T06:07:00+09:00
block list,blocked_reason,M107,208,8,EMEA,FR,Orange,SP-008,block,roaming,active,2025-10-23T06:07:00+09:00
rel features,nr_release,M107,208,8,EMEA,FR,Orange,SP-008,allow,Rel-18,active,2025-10-23T06:07:00+09:00
ue capa,ue_max_bw_mhz,M107,208,8,EMEA,FR,Orange,SP-008,allow,120,active,2025-10-23T06:07:00+09:00
allow list,device_allowed,M108,450,5,APAC,KR,DT,SP-009,allow,true,active,2025-10-23T06:08:00+09:00
block list,blocked_reason,M108,450,5,APAC,KR,DT,SP-009,block,policy,active,2025-10-23T06:08:00+09:00
rel features,nr_release,M108,450,5,APAC,KR,DT,SP-009,allow,Rel-15,active,2025-10-23T06:08:00+09:00
ue capa,ue_max_bw_mhz,M108,450,5,APAC,KR,DT,SP-009,allow,140,active,2025-10-23T06:08:00+09:00
allow list,device_allowed,M109,440,8,EMEA,JP,Free,SP-010,allow,false,active,2025-10-23T06:09:00+09:00
block list,blocked_reason,M109,440,8,EMEA,JP,Free,SP-010,block,legacy,active,2025-10-23T06:09:00+09:00
rel features,nr_release,M109,440,8,EMEA,JP,Free,SP-010,allow,Rel-16,active,2025-10-23T06:09:00+09:00
ue capa,ue_max_bw_mhz,M109,440,8,EMEA,JP,Free,SP-010,allow,160,active,2025-10-23T06:09:00+09:00
